No;PeriodeTransaksi;UsiaBangunan;Kebisingan;JarakStasiunMRT;NumMinimarket;Humiditas;Latitude;Longitude;Harga;Harga_Lain
411;LATE;5.6;21;90.45606;9;44;24.97433;121.5431;385.7;50
307;EARLY;14.4;26.1;169.9803;1;60;24.97369;121.52979;386.6;50.2
340;EARLY;1.7;27;329.9747;5;45;24.98254;121.54395;386.9;50.4
16;LATE;35.7;21.6;579.2083;2;59;24.9824;121.54619;387.3;50.5
67;EARLY;1;23.4;193.5845;6;57;24.96571;121.54089;387.3;50.7
86;LATE;0;20.4;338.9679;9;58;24.96853;121.54413;387.8;50.8
99;EARLY;16.4;22;289.3248;5;29;24.98203;121.54348;388.3;51
289;LATE;16.6;31;323.6912;6;40;24.97841;121.5428;388.6;51
141;EARLY;16.2;30.6;289.3248;5;53;24.98203;121.54348;389.2;51.4
22;EARLY;10.5;21.4;279.1726;7;29;24.97528;121.54541;389.8;51.6
111;EARLY;8.1;29.5;104.8101;5;43;24.96674;121.54067;389.9;51.6
55;EARLY;16.1;26.5;289.3248;5;30;24.98203;121.54348;389.9;51.7
372;EARLY;4.1;20.7;312.8963;5;30;24.95591;121.53956;390.2;51.7
96;LATE;8;26.4;104.8101;5;59;24.96674;121.54067;390.6;51.8
255;LATE;1.1;27.1;329.9747;5;35;24.98254;121.54395;391.2;51.8
147;LATE;0;22.4;185.4296;0;44;24.9711;121.5317;391.3;52.2
211;EARLY;5.2;20.2;390.5684;5;52;24.97937;121.54245;391.3;52.2
374;EARLY;0;27;274.0144;1;53;24.9748;121.53059;391.4;52.2
413;EARLY;8.1;24.2;104.8101;5;33;24.96674;121.54067;391.6;52.5
253;LATE;5.9;23.2;90.45606;9;59;24.97433;121.5431;392.3;52.7
263;LATE;15.9;20.1;289.3248;5;39;24.98203;121.54348;393.1;53
309;EARLY;16.4;21.5;289.3248;5;44;24.98203;121.54348;393.7;53
115;LATE;30.6;28.7;143.8383;8;51;24.98155;121.54142;396.1;53.3
381;EARLY;14.1;27.8;289.3248;5;49;24.98203;121.54348;396.5;53.3
58;LATE;3.5;30.6;56.47425;7;46;24.95744;121.53711;396.5;53.5
343;LATE;5.7;30.5;90.45606;9;47;24.97433;121.5431;396.6;53.5
349;LATE;4.6;22.3;259.6607;6;42;24.97585;121.54516;396.6;53.7
45;LATE;2.7;21.6;533.4762;4;27;24.97445;121.54765;396.6;53.9
75;LATE;6.8;22.9;379.5575;10;54;24.98343;121.53762;396.9;54.4
103;EARLY;1.1;24.3;193.5845;6;41;24.96571;121.54089;397.5;54.4
292;LATE;3.4;27;56.47425;7;29;24.95744;121.53711;398.2;54.4
4;EARLY;13.3;28.5;561.9845;5;29;24.98746;121.54391;398.4;54.8
64;LATE;2.6;22.2;533.4762;4;28;24.97445;121.54765;399.7;55
128;EARLY;3.8;29.5;383.8624;5;46;24.98085;121.54391;399.9;55
306;EARLY;16.2;26.9;289.3248;5;36;24.98203;121.54348;401;55
35;LATE;15.4;23.6;205.367;7;48;24.98419;121.54243;401.3;55.1
165;LATE;0;27.3;185.4296;0;44;24.9711;121.5317;401.7;55.2
286;EARLY;30.1;29.1;718.2937;3;52;24.97509;121.53644;403.6;55.3
387;LATE;0;20.9;185.4296;0;35;24.9711;121.5317;404.7;55.3
164;EARLY;8.5;21.1;104.8101;5;52;24.96674;121.54067;405.5;55.5
182;EARLY;11.6;24.8;201.8939;8;49;24.98489;121.54121;406.1;55.9
27;LATE;3.1;21.3;383.8624;5;58;24.98085;121.54391;407.3;56.2
287;LATE;5.9;22.7;90.45606;9;46;24.97433;121.5431;407.7;56.3
68;EARLY;8.5;23.2;104.8101;5;34;24.96674;121.54067;408.7;56.8
378;EARLY;3.9;26.8;49.66105;8;53;24.95836;121.53756;408.7;56.8
30;EARLY;7.1;23.1;451.2438;5;37;24.97563;121.54694;409.8;57.1
125;LATE;9.9;20.5;279.1726;7;29;24.97528;121.54541;410.4;57.4
161;LATE;3.5;23.4;49.66105;8;56;24.95836;121.53756;413.7;57.8
214;EARLY;6.2;21.5;90.45606;9;29;24.97433;121.5431;413.8;58
12;EARLY;6.3;21.4;90.45606;9;52;24.97433;121.5431;414;58.1
173;LATE;6.6;20.1;90.45606;9;29;24.97433;121.5431;414.1;58.1
172;EARLY;3.6;26.4;383.8624;5;26;24.98085;121.54391;414.6;58.8
71;LATE;6.6;26.4;90.45606;9;31;24.97433;121.5431;417.3;59
97;EARLY;6.4;21.4;90.45606;9;40;24.97433;121.5431;417.3;59.5
120;EARLY;16.6;20.1;289.3248;5;35;24.98203;121.54348;417.7;59.6
129;EARLY;41.3;22.4;124.9912;6;41;24.96674;121.54039;418;60.7
356;EARLY;3.8;23.9;383.8624;5;48;24.98085;121.54391;418.1;60.7
48;LATE;35.9;24.2;640.7391;3;44;24.97563;121.53715;423;61.5
237;EARLY;3.6;25.9;373.8389;10;26;24.98322;121.53765;423.5;61.9
327;EARLY;4.1;28.7;56.47425;7;47;24.95744;121.53711;423.5;62.1
100;EARLY;6.4;28.9;90.45606;9;28;24.97433;121.5431;424.6;62.2
127;EARLY;38.6;21.6;804.6897;4;39;24.97838;121.53477;424.8;62.9
62;EARLY;5.3;20.1;259.6607;6;53;24.97585;121.54516;426.1;63.2
259;EARLY;0;28.8;292.9978;6;43;24.97744;121.54458;426.9;63.3
362;EARLY;41.4;28.9;281.205;8;32;24.97345;121.54093;433.5;63.3
414;EARLY;6.5;30;90.45606;9;49;24.97433;121.5431;435.8;63.9
390;EARLY;40.9;20.5;122.3619;8;26;24.96756;121.5423;436.7;67.7
380;EARLY;0;22.1;292.9978;6;43;24.97744;121.54458;439.6;69.7
17;EARLY;0;30.3;292.9978;6;27;24.97744;121.54458;450.1;70.1
106;LATE;0;23.1;292.9978;6;60;24.97744;121.54458;450.8;71
167;EARLY;0;24.1;292.9978;6;49;24.97744;121.54458;453.5;73.6
313;LATE;35.4;29.9;318.5292;9;59;24.97071;121.54069;457.7;78
221;EARLY;37.2;20.3;186.5101;9;28;24.97703;121.54265;476.6;78.3
271;EARLY;10.8;23.3;252.5822;1;42;24.9746;121.53046;495.3;117.5
